number,city,country,longitude,latitude,radius
1,'Unknown','Unknown',0.0,0.0,0.0
2,'Berlin','Germany',13.37,52.51,0.25
3,'London','UK',-0.1,51.5,0.25
4,'Luton','UK',-0.4,51.85,0.05
5,'Stansted','UK',0.235,51.885,0.05
6,'Kortrijk','Belgium',3.25,50.85,0.1
7,'Arnside','UK',-2.832,54.199,0.05
8,'Kendal','UK',-2.745048,54.326069,0.05
9,'Burham','UK',0.48308,51.32971,0.05
10,'Windermere','UK',-2.9076,54.3761,0.04
11,'Nottingham','UK',-1.2,52.95,0.15
12,'Brussels','Belgium',4.3525,50.846667,0.1
13,'Leuven','Belgium',4.7,50.883333,0.1
14,'Ghent','Belgium',3.733333,51.05,0.1
15,'Manchester','UK',-2.233333,53.466667,0.15
16,'Zurich','Switzerland',8.55,47.35,0.1
17,'Bristol','UK',-2.6,51.45,0.15
18,'Graz','Austria',15.438889,47.070278,0.1
19,'Vienna','Austria',16.373056,48.208333,0.21
20,'Barcelona','Spain',2.15,41.35,0.15
21,'Potsdam','Germany',13.06,52.4,0.05
22,'Luebben','Germany',13.9,51.95,0.05
23,'Hamburg','Germany',9.983,53.583,0.15
24,'Kursdorf','Germany',12.236389,51.423889,0.06
25,'Leipzig','Germany',12.383333,51.333333,0.1
26,'Brighton','UK',-0.131312,50.842941,0.1
27,'Lewes','UK',0.017855,50.875627,0.05
28,'Wittenberge','Germany',11.694,53.0,0.1
29,'Brandenburg','Germany',12.552,52.412,0.05
30,'Cologne','Germany',6.9583,50.9413,0.1
31,'Dusseldorf','Germany',6.783333,51.233333,0.1
32,'Essen','Germany',7.013056,51.450833,0.1
33,'Frankfurt (Oder)','Germany',14.55,52.35,0.1
34,'Calgary','Canada',-114.1,51.1,0.2
35,'Banff','Canada',-115.55,51.15,0.1
36,'Schwedt','Germany',14.266667,53.05,0.1
37,'Luebeck','Germany',10.686389,53.869722,0.1
38,'Magdeburg','Germany',11.616667,52.133333,0.05
39,'Krems','Austria',15.610278,48.410833,0.05
40,'Prague','Czech Republic',14.4,50.1,0.1
41,'Cardiff','UK',-3.186667,51.485278,0.15
42,'Newport (Pembrokeshire)','UK',-4.83607,52.01975,0.1
43,'Copenhagen','Denmark',12.6,55.65,0.15
44,'Ludlow','UK',-2.7176,52.3681,0.1
45,'Newcastle upon Tyne','UK',-1.6132,54.974,0.15
46,'Glasgow','UK',-4.259,55.858,0.15
47,'Aberdeen','UK',-2.15,57.15,0.1
48,'Exeter','UK',-3.533617,50.7218,0.15
49,'Plymouth','UK',-4.142431,50.371397,0.1
50,'Leeds','UK',-1.549167,53.799722,0.15
51,'Schoenberg','Germany',12.45,50.9,0.05
52,'Tokyo','Japan',139.95,35.65,0.45
53,'New York','USA',-74.0,40.716667,0.25
54,'San Francisco','USA',-122.4192,37.7793,0.25
55,'Novigrad','Croatia',13.563299,45.316853,0.03
56,'Lancaster','UK',-2.799614,54.047958,0.1
57,'Palamos','Spain',3.133154,41.854975,0.025
58,'Gatwick Airport','UK',-0.183237,51.151692,0.02
59,'East Midlands Airport','UK',-1.330149,52.826892,0.03
60,'Begur','Spain',3.206753,41.95401,0.025
61,'Liverpool','UK',-2.975137,53.405175,0.15
62,'Aberystwyth','UK',-4.082053,52.413227,0.15
63,'Sheffield','UK',-1.470332,53.380778,0.15
64,'Ljubljana','Slovenia',14.505556,46.051389,0.15
65,'Munich','Germany',11.574709,48.138531,0.2
66,'Warnitz','Germany',13.872697,53.178113,0.025
67,'Derby','UK',-1.475547,52.921855,0.15
68,'Fribourg','Switzerland',7.151282,46.803645,0.1
69,'Columbia Ice Field','Canada',-117.313266,52.17849,0.05
71,'Shrewsbury','UK',-2.748072,52.710341,0.05
72,'Frankfurt am Main','Germany',8.679683,50.11345,0.2
73,'Umag','Croatia',13.522272,45.432364,0.03
74,'Lake Louise','Canada',-116.174636,51.423413,0.05
75,'Helsinki','Finland',24.942539,60.16741,0.2
76,'Monistrol de Montserrat','Spain',1.843934,41.602143,0.05
77,'Vrsar','Croatia',13.606909,45.149608,0.03
78,"La Bisbal d'Emporda",'Spain',3.027239,41.959905,0.05
79,'Athens','Greece',23.724622,37.985004,0.25
